label,message
ham,Let's grab lunch.
spam,You have been selected! Act fast!
spam,You have been selected! Act fast!
ham,Can you call me back?
ham,See you soon!
spam,Claim your free gift card today!
ham,I'll text you later.
spam,Free vacation awaits you. Register now!
spam,URGENT! Verify your account immediately.
spam,Congratulations! You've won a prize. Call now!
spam,Exclusive deal just for you!
spam,Claim your free gift card today!
spam,Free vacation awaits you. Register now!
spam,Get rich quick scheme! Join today!
spam,Win cash now!!! Click here!
ham,Are you coming today?
ham,Let's meet tomorrow.
spam,Free vacation awaits you. Register now!
ham,See you soon!
spam,Get rich quick scheme! Join today!
ham,Don't forget the meeting.
ham,Good morning!
spam,Get rich quick scheme! Join today!
spam,Exclusive deal just for you!
spam,You have been selected! Act fast!
ham,Let's grab lunch.
spam,Earn money from home easily!
spam,URGENT! Verify your account immediately.
spam,Exclusive deal just for you!
spam,Free vacation awaits you. Register now!
ham,Let's grab lunch.
spam,Win cash now!!! Click here!
spam,Earn money from home easily!
ham,I'll text you later.
ham,I'll text you later.
ham,Let's meet tomorrow.
spam,You have been selected! Act fast!
ham,Good morning!
ham,"Hey, how are you doing?"
ham,Are you coming today?
spam,Exclusive deal just for you!
spam,Exclusive deal just for you!
ham,"Hey, how are you doing?"
spam,URGENT! Verify your account immediately.
ham,"Hey, how are you doing?"
ham,Thanks for your help.
ham,Don't forget the meeting.
ham,"Hey, how are you doing?"
spam,Exclusive deal just for you!
ham,"Hey, how are you doing?"
spam,Free vacation awaits you. Register now!
ham,I'll text you later.
ham,See you soon!
ham,Are you coming today?
ham,Don't forget the meeting.
spam,Exclusive deal just for you!
ham,Don't forget the meeting.
spam,URGENT! Verify your account immediately.
ham,"Hey, how are you doing?"
spam,Exclusive deal just for you!
spam,Free vacation awaits you. Register now!
spam,Claim your free gift card today!
ham,Let's meet tomorrow.
spam,Claim your free gift card today!
ham,Thanks for your help.
ham,"Hey, how are you doing?"
spam,Claim your free gift card today!
spam,Win cash now!!! Click here!
spam,URGENT! Verify your account immediately.
spam,Congratulations! You've won a prize. Call now!
ham,"Hey, how are you doing?"
ham,"Hey, how are you doing?"
ham,Are you coming today?
ham,Let's grab lunch.
ham,Thanks for your help.
ham,Can you call me back?
spam,Get rich quick scheme! Join today!
spam,Limited offer! Buy now!
ham,See you soon!
spam,Earn money from home easily!
ham,"Hey, how are you doing?"
ham,Don't forget the meeting.
spam,Earn money from home easily!
ham,Good morning!
spam,Earn money from home easily!
ham,Let's grab lunch.
ham,Let's meet tomorrow.
spam,Claim your free gift card today!
spam,URGENT! Verify your account immediately.
spam,Win cash now!!! Click here!
spam,Limited offer! Buy now!
ham,Are you coming today?
ham,Good morning!
spam,Free vacation awaits you. Register now!
spam,URGENT! Verify your account immediately.
spam,Earn money from home easily!
ham,Don't forget the meeting.
spam,You have been selected! Act fast!
spam,Limited offer! Buy now!
spam,You have been selected! Act fast!
spam,Exclusive deal just for you!
ham,Let's meet tomorrow.
spam,You have been selected! Act fast!
spam,Limited offer! Buy now!
ham,Are you coming today?
spam,Get rich quick scheme! Join today!
spam,URGENT! Verify your account immediately.
spam,Win cash now!!! Click here!
ham,Good morning!
spam,Claim your free gift card today!
ham,Can you call me back?
ham,Don't forget the meeting.
ham,See you soon!
ham,Let's grab lunch.
ham,Good morning!
spam,Get rich quick scheme! Join today!
ham,Let's grab lunch.
spam,Free vacation awaits you. Register now!
ham,I'll text you later.
spam,Congratulations! You've won a prize. Call now!
spam,You have been selected! Act fast!
spam,Get rich quick scheme! Join today!
spam,Earn money from home easily!
spam,Claim your free gift card today!
spam,URGENT! Verify your account immediately.
spam,Get rich quick scheme! Join today!
spam,Congratulations! You've won a prize. Call now!
spam,Congratulations! You've won a prize. Call now!
ham,Let's meet tomorrow.
ham,Are you coming today?
spam,Congratulations! You've won a prize. Call now!
ham,Let's grab lunch.
ham,Let's meet tomorrow.
ham,Can you call me back?
spam,Free vacation awaits you. Register now!
spam,Earn money from home easily!
spam,You have been selected! Act fast!
spam,Get rich quick scheme! Join today!
ham,"Hey, how are you doing?"
spam,URGENT! Verify your account immediately.
spam,Win cash now!!! Click here!
ham,Let's grab lunch.
spam,Get rich quick scheme! Join today!
spam,URGENT! Verify your account immediately.
ham,Good morning!
spam,Limited offer! Buy now!
spam,You have been selected! Act fast!
spam,URGENT! Verify your account immediately.
ham,"Hey, how are you doing?"
spam,URGENT! Verify your account immediately.
ham,Can you call me back?
spam,Get rich quick scheme! Join today!
spam,Get rich quick scheme! Join today!
spam,Exclusive deal just for you!
spam,Earn money from home easily!
ham,Let's meet tomorrow.
ham,Can you call me back?
spam,Congratulations! You've won a prize. Call now!
ham,Can you call me back?
ham,Let's grab lunch.
spam,URGENT! Verify your account immediately.
ham,Don't forget the meeting.
ham,I'll text you later.
ham,See you soon!
spam,You have been selected! Act fast!
spam,Win cash now!!! Click here!
spam,Earn money from home easily!
spam,Win cash now!!! Click here!
spam,Limited offer! Buy now!
ham,Let's grab lunch.
spam,Free vacation awaits you. Register now!
ham,Let's meet tomorrow.
ham,Let's meet tomorrow.
spam,Get rich quick scheme! Join today!
spam,Win cash now!!! Click here!
spam,Exclusive deal just for you!
spam,Earn money from home easily!
ham,Don't forget the meeting.
ham,Good morning!
spam,Get rich quick scheme! Join today!
spam,URGENT! Verify your account immediately.
ham,"Hey, how are you doing?"
ham,See you soon!
spam,Claim your free gift card today!
ham,Are you coming today?
spam,Earn money from home easily!
ham,"Hey, how are you doing?"
ham,Can you call me back?
spam,URGENT! Verify your account immediately.
ham,Can you call me back?
spam,Claim your free gift card today!
spam,URGENT! Verify your account immediately.
spam,Get rich quick scheme! Join today!
spam,Claim your free gift card today!
ham,Are you coming today?
ham,See you soon!
spam,You have been selected! Act fast!
ham,"Hey, how are you doing?"
spam,Win cash now!!! Click here!
spam,You have been selected! Act fast!
